family	size	seed	label	status	L	k	E	max_coeff_bits	coeff_bound_bits	dig	legacy_dig96_exact
dense	40	22	dense_N40_seed22	ok	3	5	172	29	31	32	1
dense	40	23	dense_N40_seed23	ok	3	5	144	28	29	30	1
dense	40	24	dense_N40_seed24	ok	3	5	144	28	29	30	1
dense	40	25	dense_N40_seed25	ok	3	5	145	28	29	30	1
dense	40	26	dense_N40_seed26	ok	5	7	139	34	38	39	1
dense	40	27	dense_N40_seed27	ok	4	6	153	32	34	35	1
dense	40	28	dense_N40_seed28	ok	3	5	150	28	30	31	1
dense	40	29	dense_N40_seed29	ok	3	5	139	28	29	30	1
dense	40	30	dense_N40_seed30	ok	3	5	135	27	29	30	1
dense	40	31	dense_N40_seed31	ok	4	6	158	32	35	36	1
dense	40	32	dense_N40_seed32	ok	5	7	145	35	38	39	1
dense	40	33	dense_N40_seed33	ok	3	5	145	28	29	30	1
dense	40	34	dense_N40_seed34	ok	3	5	133	27	29	30	1
dense	40	35	dense_N40_seed35	ok	3	5	159	29	30	31	1
dense	40	36	dense_N40_seed36	ok	3	5	126	27	28	29	1
dense	40	37	dense_N40_seed37	ok	3	5	164	29	30	31	1
dense	40	38	dense_N40_seed38	ok	3	5	154	28	30	31	1
dense	40	39	dense_N40_seed39	ok	4	6	160	32	35	36	1
dense	40	40	dense_N40_seed40	ok	6	8	165	39	44	45	1
grid	4	1	grid_k4_N16_seed1	ok	6	8	24	12	20	21	1
grid	4	2	grid_k4_N16_seed2	ok	6	8	24	12	20	21	1
grid	4	3	grid_k4_N16_seed3	ok	6	8	24	12	20	21	1
grid	4	4	grid_k4_N16_seed4	ok	6	8	24	12	20	21	1
grid	4	5	grid_k4_N16_seed5	ok	6	8	24	12	20	21	1
grid	4	6	grid_k4_N16_seed6	ok	6	8	24	12	20	21	1
grid	4	7	grid_k4_N16_seed7	ok	6	8	24	12	20	21	1
grid	4	8	grid_k4_N16_seed8	ok	6	8	24	12	20	21	1
grid	4	9	grid_k4_N16_seed9	ok	6	8	24	12	20	21	1
grid	4	10	grid_k4_N16_seed10	ok	6	8	24	12	20	21	1
grid	4	11	grid_k4_N16_seed11	ok	6	8	24	12	20	21	1
grid	4	12	grid_k4_N16_seed12	ok	6	8	24	12	20	21	1
grid	4	13	grid_k4_N16_seed13	ok	6	8	24	12	20	21	1
grid	4	14	grid_k4_N16_seed14	ok	6	8	24	12	20	21	1
grid	4	15	grid_k4_N16_seed15	ok	6	8	24	12	20	21	1
grid	4	16	grid_k4_N16_seed16	ok	6	8	24	12	20	21	1
grid	4	17	grid_k4_N16_seed17	ok	6	8	24	12	20	21	1
grid	4	18	grid_k4_N16_seed18	ok	6	8	24	12	20	21	1
grid	4	19	grid_k4_N16_seed19	ok	6	8	24	12	20	21	1
grid	4	20	grid_k4_N16_seed20	ok	6	8	24	12	20	21	1
grid	4	21	grid_k4_N16_seed21	ok	6	8	24	12	20	21	1
grid	4	22	grid_k4_N16_seed22	ok	6	8	24	12	20	21	1
grid	4	23	grid_k4_N16_seed23	ok	6	8	24	12	20	21	1
grid	4	24	grid_k4_N16_seed24	ok	6	8	24	12	20	21	1
grid	4	25	grid_k4_N16_seed25	ok	6	8	24	12	20	21	1
grid	4	26	grid_k4_N16_seed26	ok	6	8	24	12	20	21	1
grid	4	27	grid_k4_N16_seed27	ok	6	8	24	12	20	21	1
grid	4	28	grid_k4_N16_seed28	ok	6	8	24	12	20	21	1
